gvkey,iid,datadate,tic,prccd,,,
1161,1,20170607,AMD,12.38,,,
1161,1,20170608,AMD,12.9,,,
1161,1,20170609,AMD,12.28,,,
1161,1,20170612,AMD,12.09,,,
1161,1,20170613,AMD,11.96,,,
1161,1,20170614,AMD,11.77,,,
1161,1,20170615,AMD,11.5,,,
1161,1,20170616,AMD,11.44,,,
1161,1,20170619,AMD,11.93,,,
1161,1,20170620,AMD,12.64,,,
1161,1,20170621,AMD,13.98,,,
1161,1,20170622,AMD,14.38,,,
1161,1,20170623,AMD,14.17,,,
1161,1,20170626,AMD,14.08,,,
1161,1,20170627,AMD,13.4,,,
1161,1,20170628,AMD,13.23,,,
1161,1,20170629,AMD,12.6,,,
1161,1,20170630,AMD,12.48,,,
1161,1,20170703,AMD,12.15,,,
1161,1,20170705,AMD,13.19,,,
1161,1,20170706,AMD,13.02,,,
1161,1,20170707,AMD,13.36,,,
1161,1,20170710,AMD,13.81,,,
1161,1,20170711,AMD,13.89,,,
1161,1,20170712,AMD,14.29,,,
1161,1,20170713,AMD,13.53,,,
1161,1,20170714,AMD,13.92,,,
1161,1,20170717,AMD,13.8,,,
1161,1,20170718,AMD,13.48,,,
1161,1,20170719,AMD,13.55,,,
1161,1,20170720,AMD,13.8,,,
1161,1,20170721,AMD,13.88,,,
1161,1,20170724,AMD,14.16,,,
1161,1,20170725,AMD,14.11,,,
1161,1,20170726,AMD,14.76,,,
1161,1,20170727,AMD,14.12,,,
1161,1,20170728,AMD,13.95,,,
1161,1,20170731,AMD,13.61,,,
1161,1,20170801,AMD,13.71,,,
1161,1,20170802,AMD,13.37,,,
1161,1,20170803,AMD,13.24,,,
1161,1,20170804,AMD,13.12,,,
1161,1,20170807,AMD,13.43,,,
1161,1,20170808,AMD,13.11,,,
1161,1,20170809,AMD,12.83,,,
1161,1,20170810,AMD,12.12,,,
1161,1,20170811,AMD,12.23,,,
1161,1,20170814,AMD,12.76,,,
1161,1,20170815,AMD,13.02,,,
1161,1,20170816,AMD,12.63,,,
1161,1,20170817,AMD,12.34,,,
1161,1,20170818,AMD,12.37,,,
1161,1,20170821,AMD,12.05,,,
1161,1,20170822,AMD,12.17,,,
1161,1,20170823,AMD,12.48,,,
1161,1,20170824,AMD,12.5,,,
1161,1,20170825,AMD,12.43,,,
1161,1,20170828,AMD,12.23,,,
1161,1,20170829,AMD,12.15,,,
1161,1,20170830,AMD,12.67,,,
1161,1,20170831,AMD,13,,,
1161,1,20170901,AMD,13.19,,,
1161,1,20170905,AMD,12.92,,,
1161,1,20170906,AMD,12.86,,,
1161,1,20170907,AMD,12.63,,,
1161,1,20170908,AMD,12.25,,,
1161,1,20170911,AMD,12.55,,,
1161,1,20170912,AMD,12.3,,,
1161,1,20170913,AMD,12.22,,,
1161,1,20170914,AMD,12.26,,,
1161,1,20170915,AMD,12.52,,,
1161,1,20170918,AMD,13.08,,,
1161,1,20170919,AMD,13.12,,,
1161,1,20170920,AMD,13.74,,,
1161,1,20170921,AMD,13.41,,,
1161,1,20170922,AMD,13.3,,,
1161,1,20170925,AMD,12.61,,,
1161,1,20170926,AMD,12.45,,,
1161,1,20170927,AMD,12.74,,,
1161,1,20170928,AMD,12.74,,,
1161,1,20170929,AMD,12.75,,,
1161,1,20171002,AMD,12.71,,,
1161,1,20171003,AMD,13.42,,,
1161,1,20171004,AMD,13.31,,,
1161,1,20171005,AMD,13.34,,,
1161,1,20171006,AMD,13.23,,,
1161,1,20171009,AMD,13.47,,,
1161,1,20171010,AMD,13.7,,,
1161,1,20171011,AMD,13.88,,,
1161,1,20171012,AMD,14.2,,,
1161,1,20171013,AMD,14.22,,,
1161,1,20171016,AMD,14.26,,,
1161,1,20171017,AMD,14.16,,,
1161,1,20171018,AMD,14.07,,,
1161,1,20171019,AMD,13.95,,,
1161,1,20171020,AMD,13.81,,,
1161,1,20171023,AMD,14.1,,,
1161,1,20171024,AMD,14.25,,,
1161,1,20171025,AMD,12.33,,,
1161,1,20171026,AMD,12.005,,,
1161,1,20171027,AMD,11.84,,,
1161,1,20171030,AMD,10.89,,,
1161,1,20171031,AMD,10.985,,,
1161,1,20171101,AMD,10.8,,,
1161,1,20171102,AMD,10.85,,,
1161,1,20171103,AMD,11.12,,,
1161,1,20171106,AMD,11.93,,,
1161,1,20171107,AMD,12.05,,,
1161,1,20171108,AMD,11.71,,,
1161,1,20171109,AMD,11.12,,,
1161,1,20171110,AMD,11.26,,,
1161,1,20171113,AMD,11.09,,,
